INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING
408,T,230513,141102,52.8351684N,1.3119994W,67,0.0,124
409,T,230513,141102,52.8351683N,1.3119993W,67,0.0,124
410,T,230513,141103,52.8351684N,1.3119993W,67,0.1,124
411,T,230513,141103,52.8351683N,1.3119993W,67,0.1,124
412,T,230513,141103,52.8351683N,1.3119993W,67,0.1,124
413,T,230513,141103,52.8351683N,1.3119993W,67,0.1,124
414,T,230513,141103,52.8351683N,1.3119993W,67,0.1,124
415,T,230513,141104,52.8351684N,1.3119993W,67,0.0,124
416,T,230513,141104,52.8351688N,1.3119993W,67,0.0,124
417,T,230513,141104,52.8351688N,1.3119993W,67,0.0,124
418,T,230513,141104,52.8351688N,1.3119994W,67,0.0,124
419,T,230513,141104,52.8351688N,1.3119993W,67,0.0,124
420,T,230513,141105,52.8351684N,1.3119993W,67,0.1,124
421,T,230513,141105,52.8351687N,1.3119993W,67,0.1,124
422,T,230513,141105,52.8351688N,1.3119993W,67,0.1,124
423,T,230513,141105,52.8351687N,1.3119993W,67,0.1,124
424,T,230513,141105,52.8351687N,1.3119993W,67,0.1,124
425,T,230513,141106,52.8351684N,1.3119993W,67,0.1,124
426,T,230513,141106,52.8351689N,1.3119994W,67,0.1,124
427,T,230513,141106,52.8351689N,1.3119993W,67,0.1,124
428,T,230513,141106,52.8351689N,1.3119993W,67,0.1,124
429,T,230513,141106,52.8351689N,1.3119993W,67,0.1,124
430,T,230513,141107,52.8351684N,1.3119993W,67,0.7,124
